image_path,segmentation_method
data/ne2025/device5/2941_LeafPhotoA_2025-09-09 16_29_21.629-05_00.jpg,CV2
data/ne2025/device5/2794_LeafPhotoA_2025-09-09 11_14_44.812-05_00.jpg,CV2
data/ne2025/device5/2078_LeafPhotoA_2025-09-08 12_13_55.107-05_00.jpg,CV2
data/ne2025/device5/1754_LeafPhotoA_2025-09-09 10_40_56.346-05_00.jpg,CV2
data/ne2025/device5/2799_LeafPhotoA_2025-09-09 11_00_03.992-05_00.jpg,CV2
data/ne2025/device5/2010_LeafPhotoA_2025-09-08 10_43_56.742-05_00.jpg,CV2
data/ne2025/device5/2062_LeafPhotoA_2025-09-08 11_56_29.638-05_00.jpg,CV2
data/ne2025/device5/1028_LeafPhotoA_2025-09-08 10_03_47.511-05_00.jpg,CV2
data/ne2025/device5/2033_LeafPhotoA_2025-09-08 11_11_13.000-05_00.jpg,CV2
data/ne2025/device5/1071_LeafPhotoA_2025-09-08 13_02_40.681-05_00.jpg,CV2
data/ne2025/device5/2089_LeafPhotoA_2025-09-08 12_26_53.526-05_00.jpg,CV2
data/ne2025/device5/2002_LeafPhotoA_2025-09-08 10_34_19.260-05_00.jpg,CV2
data/ne2025/device5/1016_LeafPhotoA_2025-09-08 09_49_16.143-05_00.jpg,CV2
data/ne2025/device5/1072_LeafPhotoA_2025-09-08 13_03_29.236-05_00.jpg,CV2
data/ne2025/device5/2932_LeafPhotoA_2025-09-09 16_37_01.603-05_00.jpg,CV2
data/ne2025/device5/1013_LeafPhotoA_2025-09-08 09_45_36.458-05_00.jpg,CV2
data/ne2025/device5/2051_LeafPhotoA_2025-09-08 11_43_52.523-05_00.jpg,CV2
data/ne2025/device5/2939_LeafPhotoA_2025-09-09 16_31_18.809-05_00.jpg,CV2
data/ne2025/device5/2065_LeafPhotoA_2025-09-08 11_58_33.163-05_00.jpg,CV2
data/ne2025/device5/2029_LeafPhotoA_2025-09-08 11_07_01.047-05_00.jpg,CV2
data/ne2025/device5/2798_LeafPhotoA_2025-09-09 11_01_30.478-05_00.jpg,CV2
data/ne2025/device5/2018_LeafPhotoA_2025-09-08 10_53_10.410-05_00.jpg,CV2
data/ne2025/device5/2937_LeafPhotoA_2025-09-09 16_32_32.846-05_00.jpg,CV2
data/ne2025/device5/1752_LeafPhotoA_2025-09-09 10_44_38.144-05_00.jpg,CV2
data/ne2025/device5/1889_LeafPhotoA_2025-09-09 17_13_53.804-05_00.jpg,CV2
data/ne2025/device5/1052_LeafPhotoA_2025-09-08 12_42_57.295-05_00.jpg,CV2
data/ne2025/device5/2019_LeafPhotoA_2025-09-08 10_54_32.129-05_00.jpg,CV2
data/ne2025/device5/1030_LeafPhotoA_2025-09-08 10_05_24.735-05_00.jpg,Failed
data/ne2025/device5/2096_LeafPhotoA_2025-09-08 12_33_02.680-05_00.jpg,CV2
data/ne2025/device5/1755_LeafPhotoA_2025-09-09 10_37_59.166-05_00.jpg,CV2
data/ne2025/device5/1031_LeafPhotoA_2025-09-08 10_06_33.217-05_00.jpg,CV2
data/ne2025/device5/2038_LeafPhotoA_2025-09-08 11_17_54.751-05_00.jpg,CV2
data/ne2025/device5/2032_LeafPhotoA_2025-09-08 11_10_28.852-05_00.jpg,CV2
data/ne2025/device5/1047_LeafPhotoA_2025-09-08 10_27_02.535-05_00.jpg,CV2
data/ne2025/device5/2017_LeafPhotoA_2025-09-08 10_51_43.947-05_00.jpg,CV2
data/ne2025/device5/1012_LeafPhotoA_2025-09-08 09_44_03.312-05_00.jpg,CV2
data/ne2025/device5/2932_LeafPhotoA_2025-09-09 16_36_44.096-05_00.jpg,CV2
data/ne2025/device5/1882_LeafPhotoA_2025-09-09 17_08_57.451-05_00.jpg,CV2
data/ne2025/device5/1797_LeafPhotoA_2025-09-09 08_57_54.375-05_00.jpg,CV2
